run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR10958874	SAMEA112702550	ERX10397506	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10958874/ERR10958874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10958874/ERR10958874_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958874/DM00036V1PQ84_S88_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958874/DM00036V1PQ84_S88_L001_R2_001.fastq.gz	
ERR10958887	SAMEA112702563	ERX10397519	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10958887/ERR10958887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10958887/ERR10958887_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958887/DM00042V1PQ75-85-1_S101_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958887/DM00042V1PQ75-85-1_S101_L001_R2_001.fastq.gz	
ERR10958890	SAMEA112702566	ERX10397522	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958890/ERR10958890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958890/ERR10958890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958890/DM00044V1PQ16_S104_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958890/DM00044V1PQ16_S104_L001_R2_001.fastq.gz	
ERR10958907	SAMEA112702583	ERX10397539	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10958907/ERR10958907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10958907/ERR10958907_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958907/DM00049V1PQ41_S121_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958907/DM00049V1PQ41_S121_L001_R2_001.fastq.gz	
ERR10958911	SAMEA112702587	ERX10397543	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10958911/ERR10958911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10958911/ERR10958911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958911/DM00050V1PQ36_S125_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958911/DM00050V1PQ36_S125_L001_R2_001.fastq.gz	
ERR10958912	SAMEA112702588	ERX10397544	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10958912/ERR10958912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10958912/ERR10958912_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958912/DM00050V1PQ54_S126_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958912/DM00050V1PQ54_S126_L001_R2_001.fastq.gz	
ERR10958917	SAMEA112702593	ERX10397549	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10958917/ERR10958917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10958917/ERR10958917_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958917/DM00051V1PQ11_S131_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958917/DM00051V1PQ11_S131_L001_R2_001.fastq.gz	
ERR10958920	SAMEA112702596	ERX10397552	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10958920/ERR10958920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10958920/ERR10958920_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958920/DM00052V1PQ65_S110_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958920/DM00052V1PQ65_S110_L001_R2_001.fastq.gz	
ERR10958922	SAMEA112702598	ERX10397554	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10958922/ERR10958922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10958922/ERR10958922_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958922/DM00053V1PQ75_S135_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958922/DM00053V1PQ75_S135_L001_R2_001.fastq.gz	
ERR10958927	SAMEA112702603	ERX10397559	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10958927/ERR10958927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10958927/ERR10958927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958927/DM00055V1PQ75_S140_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958927/DM00055V1PQ75_S140_L001_R2_001.fastq.gz	
