row_names	input	filtered	denoisedF	denoisedR	merged	non_chimeric
DM00024V1PQ64	42642	39224	38900	38772	38004	36602
DM00024V1PQ65	30120	26414	26215	26081	25634	25136
DM00024V1PQ75	29329	26338	26142	26122	25714	24844
DM00025V1PQ31-41	19217	17297	17152	17074	16819	16168
DM00026V1PQ65	34270	31105	30837	30666	30036	24646
DM00027V1PQ55	28278	23695	23486	23337	22596	22111
DM00027V1PQ65	26382	23410	23238	23120	22709	21953
DM00028V1PQ16	45051	39907	39578	39399	38606	36445
DM00028V1PQ26	40257	33303	33036	32709	32195	30825
DM00029V1PQ26	53963	48339	48008	47874	47408	46220
DM00032V1PQ55	57716	53048	52331	52182	50940	47845
